text_original,text_processed,true_label,predicted,true_sentiment,predicted_sentiment
Found out earlier today that I`m going to be an Uncle,Found out earlier today that I`m going to be an Uncle,2,1,positive,neutral
"Wah, my fav whattaburger location is closing on the 31st. **. Good thing I`m moving. ** Mon/fri won`t be the same","Wah, my fav whattaburger location is closing on the 31st. **. Good thing I`m moving. ** Mon/fri won`t be the same",1,2,neutral,positive
Why oh why do I always forget to take the medication I`m *supposed* to take 30 minute before breakfast? Just taking it now at 1:30,Why oh why do I always forget to take the medication I`m *supposed* to take 30 minute before breakfast? Just taking it now at 1:30,1,0,neutral,negative
My my I have never NOT_watched NOT_so NOT_many NOT_movies NOT_in NOT_one NOT_night NOT_with NOT_my NOT_mommy,My my I have never NOT_watched NOT_so NOT_many NOT_movies NOT_in NOT_one NOT_night NOT_with NOT_my NOT_mommy,1,0,neutral,negative
Its funny how I want something even more... now that someone else ha it and i cant NOT_anymore NOT_hahaha NOT_NEXT!,Its funny how I want something even more... now that someone else ha it and i cant NOT_anymore NOT_hahaha NOT_NEXT!,2,1,positive,neutral
hahaa your awesomee !,hahaa your awesomee !,2,1,positive,neutral
_morley where are you? In Bris? I can`t hear any thunder,_morley where are you? In Bris? I can`t hear any thunder,0,1,negative,neutral
WHAT! That`s a sin!,WHAT! That`s a sin!,0,1,negative,neutral
Exams are kinda near. Just a week more. 2 Projects yet to be submitted and almost failing in one of the subjects. May ALLAH save me,Exams are kinda near. Just a week more. 2 Projects yet to be submitted and almost failing in one of the subjects. May ALLAH save me,0,1,negative,neutral
There is a baby cardinal fallen out of it nest. I dont want to get attacked by the mom bird but i dont want the dog to get the bird,There is a baby cardinal fallen out of it nest. I dont want to get attacked by the mom bird but i dont want the dog to get the bird,1,0,neutral,negative
and Radio X 96.1 is going all sport next month. Radio is dead. HASHTAG_grandrapids,and Radio X 96.1 is going all sport next month. Radio is dead. HASHTAG_grandrapids,0,1,negative,neutral
I decided you should help me make my first solo album,I decided you should help me make my first solo album,2,1,positive,neutral
"Spent the entire morning in a meeting w/ a vendor, and my bos wa not NOT_happy NOT_w/ NOT_them. NOT_Lots NOT_of NOT_fun. NOT_I NOT_had NOT_other NOT_plans NOT_for NOT_my NOT_morning","Spent the entire morning in a meeting w/ a vendor, and my bos wa not NOT_happy NOT_w/ NOT_them. NOT_Lots NOT_of NOT_fun. NOT_I NOT_had NOT_other NOT_plans NOT_for NOT_my NOT_morning",1,0,neutral,negative
Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,1,2,neutral,positive
lot of Reqs today.. no NOT_fun,lot of Reqs today.. no NOT_fun,0,2,negative,positive
doe it work on the iPhone a my MacBook is flat,doe it work on the iPhone a my MacBook is flat,1,0,neutral,negative
my grandpa wa telling me how they used to cut up human body in med school,my grandpa wa telling me how they used to cut up human body in med school,1,0,neutral,negative
i have to be at work at 5 am ... thanks to me ppl will be getting their freakin starbucks. peace out ppls!,i have to be at work at 5 am ... thanks to me ppl will be getting their freakin starbucks. peace out ppls!,1,2,neutral,positive
